RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
1011,3936753,3936708,EUROPEAN PRINCIPAL ASSETS LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1012,3936548,3936708,MORGAN STANLEY JUBILEE INVESTMENTS LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1013,4369040,3936548,MORGAN STANLEY UK FINANCING II LP,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1014,3934535,3936548,MORGAN STANLEY B.V.,International Nonbank Sub of Domestic Entities,AMSTERDAM,NETHERLANDS                             
1015,3949584,3936548,ARCHIMEDES INVESTMENTS COOPERATIEVE U.A.,International Nonbank Sub of Domestic Entities,AMSTERDAM,NETHERLANDS                             
1016,3936409,3936708,MORGAN STANLEY SYRAH ONE LIMITED,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1017,3934834,3936409,MORGAN STANLEY CEDAR 3 LIMITED,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1018,3934768,3934834,MORGAN STANLEY CEDAR 4 LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1019,3936436,3936708,MORGAN STANLEY REALTY INCORPORATED,Domestic Entity Other,NEW YORK,NY
1020,3936463,3936708,MSDW INVESTMENT HOLDINGS (US) LLC,Domestic Entity Other,NEW YORK,NY
1021,3946873,3936463,NORFOLK TRADING B.V.,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1022,3998014,3936463,MORGAN STANLEY UK TRADER,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1023,3997875,3998014,MORGAN STANLEY CORPORATE TRADER,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1024,3936267,3936708,MORGAN STANLEY INTERNATIONAL LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1025,3936735,3936267,MORGAN STANLEY GROUP (EUROPE),International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1026,5435081,3936267,MORGAN STANLEY LIMITED LIABILITY COMPANY,International Nonbank Sub of Domestic Entities,MOSCOW,RUSSIA                                  
1027,5372065,3936267,MORGAN STANLEY INVESTMENT MANAGEMENT (IRELAND) LIMITED,International Nonbank Sub of Domestic Entities,DUBLIN,IRELAND                                 
1028,5372074,3936267,MSIM FUND MANAGEMENT (IRELAND) LIMITED,International Nonbank Sub of Domestic Entities,DUBLIN,IRELAND                                 
